Community_ID,Client1,Client2,Start_Time,End_Time
61,6542,6599,2401011253,2401021609
92,4405,8637,2401011904,2401020217
55,7066,3828,2401011344,2401022103
93,7248,1862,2401010538,2401021027
56,2177,2956,2401010007,2401020504
99,9072,5169,2401010233,2401021015
38,9286,9288,2401011449,2401020027
74,9136,8423,2401011151,2401021010
12,2958,2138,2401010535,2401021441
23,7807,7680,2401010745,2401020403
67,2525,7183,2401011158,2401020929
53,2405,3274,2401010704,2401020933
7,7173,7000,2401010604,2401020045
27,6288,3236,2401012345,2401022345
38,3136,9767,2401010959,2401020800
26,5893,7309,2401011958,2401021525
60,7559,3245,2401011548,2401021005
45,9792,2809,2401011752,2401020336
49,8818,7446,2401010030,2401021857
88,8065,3103,2401020000,2401021826
88,5528,9927,2401012332,2401020251
21,3508,8932,2401010701,2401020444
21,2497,3484,2401010616,2401022157
75,9712,1153,2401011044,2401022007
23,5095,3947,2401010204,2401020657
38,4686,2318,2401011059,2401021843
87,6760,8418,2401010808,2401021354
81,7250,7428,2401011913,2401020441
65,9776,9991,2401011358,2401020405
48,6342,2342,2401012219,2401022227
91,2642,8631,2401010139,2401022108
69,3932,1647,2401011036,2401021900
20,6688,2318,2401010735,2401020221
52,3992,3955,2401010941,2401020149
80,2218,2070,2401012025,2401020523
21,9360,8582,2401012112,2401020746
14,2986,7463,2401010134,2401020147
1,8407,2843,2401011906,2401021559
34,7776,2534,2401010700,2401020820
78,7443,8023,2401011458,2401020003
24,4027,3505,2401011031,2401022202
2,1962,1187,2401012134,2401021453
3,9320,8705,2401011342,2401021317
42,6529,8125,2401012133,2401021933
89,5434,7013,2401010832,2401021849
26,7026,1658,2401010239,2401020112
49,1843,6487,2401011736,2401021036
41,3232,8149,2401010246,2401020242
24,9991,8738,2401010659,2401020803
76,8029,3050,2401012320,2401022215
58,1162,8048,2401012255,2401021259
37,7028,9520,2401012028,2401020741
59,1410,6317,2401010408,2401020113
13,4595,8760,2401010318,2401020249
46,9631,4184,2401010630,2401020009
74,9108,8795,2401011923,2401022252
18,4325,8361,2401010732,2401021539
41,9923,4097,2401011824,2401022259
70,3318,8470,2401010124,2401021301
57,9053,8499,2401010235,2401020037
14,6910,9708,2401010009,2401022134
4,2935,4421,2401010821,2401021546
92,4347,5188,2401012331,2401020018
79,2123,8758,2401010329,2401022046
95,6906,5870,2401011219,2401020952
88,9205,6560,2401012146,2401022125
48,4090,4597,2401010232,2401022016
85,2236,4258,2401011912,2401022128
65,8031,2515,2401010755,2401021737
92,6154,9987,2401012324,2401021020
23,5927,1422,2401011832,2401021223
72,3289,9359,2401011640,2401022319
31,9167,9683,2401011858,2401021539
33,2401,2827,2401010846,2401021207
39,8715,2652,2401010033,2401021414
58,4654,5844,2401010002,2401021008
46,3195,8854,2401010838,2401021351
25,3142,5610,2401010145,2401021945
73,4757,2659,2401012332,2401020949
97,9248,1996,2401010632,2401020124
27,7729,2320,2401011127,2401020646
67,3833,5640,2401010144,2401021116
73,7127,1488,2401010916,2401021357
10,4091,3683,2401010432,2401021418
23,9958,3081,2401011917,2401021651
52,2032,2013,2401011232,2401021415
1,1682,7308,2401012224,2401020117
90,8040,6395,2401012045,2401020826
39,1797,1362,2401012015,2401021442
91,8817,5676,2401011342,2401021837
73,8823,5648,2401012250,2401022313
3,3854,9552,2401011129,2401021837
72,3646,6204,2401010338,2401021403
45,5896,9097,2401010132,2401020019
74,7422,4341,2401010245,2401021758
92,8026,8787,2401011517,2401020741
34,8245,4610,2401010710,2401021526
43,1032,4508,2401010339,2401021015
54,3184,6036,2401010046,2401021023
8,3591,1307,2401010842,2401021311
11,8614,1561,2401010215,2401021716
16,8423,2381,2401011806,2401021416
96,3156,2756,2401010338,2401021435
86,5374,1479,2401011656,2401020342
90,3082,4984,2401011508,2401020126
76,3589,5425,2401012148,2401021815
45,4484,2994,2401010352,2401021408
10,9656,2197,2401010841,2401020949
85,2926,1642,2401010016,2401021759
35,1593,7640,2401012345,2401021711
61,5520,4199,2401011944,2401020909
61,1079,1966,2401011352,2401020648
18,2003,6814,2401010622,2401020326
12,9875,2005,2401011102,2401021317
47,3349,2856,2401011021,2401021114
91,9885,4219,2401010341,2401021635
28,7401,9528,2401010523,2401020619
24,9248,2858,2401010152,2401020104
63,1181,8877,2401011421,2401020958
14,1343,8140,2401011316,2401022138
42,6520,1962,2401011818,2401022338
93,8000,7162,2401010528,2401020246
57,3286,1019,2401010530,2401021009
75,5960,6191,2401010908,2401020502
52,3801,6356,2401010152,2401021552
33,6073,1475,2401010059,2401020534
51,9549,2001,2401012209,2401021524
50,8012,8266,2401011505,2401021519
35,9275,1324,2401011652,2401020432
78,8004,4228,2401010800,2401020023
9,2955,1819,2401011336,2401021433
9,9043,3391,2401011225,2401020843
71,3781,7710,2401012043,2401022237
9,7584,1226,2401010751,2401021105
20,7446,5811,2401010009,2401020701
13,6646,3390,2401010927,2401021409
26,8872,2333,2401012021,2401020622
4,9181,1664,2401010039,2401021343
100,5670,6137,2401011910,2401022202
61,4851,7823,2401011321,2401021529
17,1546,6466,2401012156,2401020509
6,5760,2559,2401010127,2401020856
62,4761,7692,2401012029,2401020925
58,1390,9981,2401012046,2401021841
95,9047,7245,2401012147,2401020934
54,9088,9857,2401010036,2401022124
38,4810,1502,2401011846,2401020905
69,6718,6272,2401011624,2401021404
69,3359,5366,2401011840,2401020033
59,6774,8233,2401010756,2401022113
30,1613,4510,2401011601,2401022218
30,2120,5958,2401010916,2401021335
62,7544,7680,2401010005,2401021211
3,6581,2249,2401010504,2401020121
68,9456,5734,2401010439,2401022202
13,3756,5334,2401011803,2401020914
